,count,unique,top,freq,mean,std,min,25%,50%,75%,max
book_id,10000.0,,,,5000.5,2886.8956799071675,1.0,2500.75,5000.5,7500.25,10000.0
goodreads_book_id,10000.0,,,,5264696.5132,7575461.863589611,1.0,46275.75,394965.5,9382225.25,33288638.0
best_book_id,10000.0,,,,5471213.5801,7827329.890719961,1.0,47911.75,425123.5,9636112.5,35534230.0
work_id,10000.0,,,,8646183.4246,11751060.824080039,87.0,1008841.0,2719524.5,14517748.25,56399597.0
books_count,10000.0,,,,75.7127,170.47072765025834,1.0,23.0,40.0,67.0,3455.0
isbn,9300,9300,439023483,1,,,,,,,
isbn13,9415.0,,,,9755044298883.463,442861920665.57336,195170342.0,9780316192995.0,9780451528640.0,9780830777175.0,9790007672390.0
authors,10000,4664,Stephen King,60,,,,,,,
original_publication_year,9979.0,,,,1981.987674115643,152.57666516754668,-1750.0,1990.0,2004.0,2011.0,2017.0
original_title,9415,9274, ,5,,,,,,,
title,10000,9964,Selected Poems,4,,,,,,,
language_code,8916,25,eng,6341,,,,,,,
average_rating,10000.0,,,,4.002191000000001,0.25442748053872905,2.47,3.85,4.02,4.18,4.82
ratings_count,10000.0,,,,54001.2351,157369.95643554674,2716.0,13568.75,21155.5,41053.5,4780653.0
work_ratings_count,10000.0,,,,59687.3216,167803.7852374182,5510.0,15438.75,23832.5,45915.0,4942365.0
work_text_reviews_count,10000.0,,,,2919.9553,6124.378131569911,3.0,694.0,1402.0,2744.25,155254.0
ratings_1,10000.0,,,,1345.0406,6635.626262783459,11.0,196.0,391.0,885.0,456191.0
ratings_2,10000.0,,,,3110.885,9717.123578396993,30.0,656.0,1163.0,2353.25,436802.0
ratings_3,10000.0,,,,11475.8938,28546.449183182456,323.0,3112.0,4894.0,9287.0,793319.0
ratings_4,10000.0,,,,19965.6966,51447.35838380058,750.0,5405.75,8269.5,16023.5,1481305.0
ratings_5,10000.0,,,,23789.8056,79768.88561077163,754.0,5334.0,8836.0,17304.5,3011543.0
image_url,10000,6669,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3332,,,,,,,
small_image_url,10000,6669,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,3332,,,,,,,
